event_id,user_id,product_id,event_type,price,event_timestamp
4d40f186-f9bb-4c83-b69f-8f24ada9842f,237,306,view,,2026-01-26T16:59:39.559745+00:00
1c51e3b0-3738-4eb5-8741-e95ee4368e53,704,14,purchase,193.08,2026-01-26T16:59:39.560411+00:00
24ab73d0-3b3e-4434-bc94-d7ccac70aa85,138,258,view,,2026-01-26T16:59:39.560497+00:00
9ede2ce2-70fd-46fc-b895-8fe2b3b8dbac,481,365,view,,2026-01-26T16:59:39.560572+00:00
e2860892-470b-4068-95ed-4832cb69827a,189,437,view,,2026-01-26T16:59:39.560662+00:00
e7a06059-4e5d-437c-bfb1-78855eeffd3f,486,71,view,,2026-01-26T16:59:39.560737+00:00
7c6e63dc-aa12-4fb2-bf94-6883e6e529c9,232,17,purchase,219.76,2026-01-26T16:59:39.560837+00:00
b674af24-fa7a-4147-ac7d-3839510822cd,277,487,purchase,221.22,2026-01-26T16:59:39.560902+00:00
c370b997-0425-4e9e-b41f-fa135cfc9a65,208,388,view,,2026-01-26T16:59:39.560940+00:00
36f18f58-b665-4f63-8b2a-b7e3ae46eca0,182,475,purchase,498.99,2026-01-26T16:59:39.560983+00:00
582b9c25-1784-4f48-8458-d9cf0718df83,502,353,view,,2026-01-26T16:59:39.561018+00:00
d5c29ba4-980f-4ac2-bb74-42e768d6f2ea,469,455,view,,2026-01-26T16:59:39.561050+00:00
4b37fc46-9678-4f50-9634-937446dd6697,415,398,purchase,31.61,2026-01-26T16:59:39.561090+00:00
1dc99760-12a5-43f9-8506-e4dd6fcf5f17,738,161,view,,2026-01-26T16:59:39.561124+00:00
5be95751-04f7-4073-8b46-01030d3d255c,962,381,view,,2026-01-26T16:59:39.561157+00:00
811c3f35-814e-466b-bc57-420e0d815fa6,550,269,view,,2026-01-26T16:59:39.561208+00:00
84530051-d81f-467c-8ce2-9f89fd35bbec,722,403,view,,2026-01-26T16:59:39.561277+00:00
fd7a9c1a-1c51-41f8-a215-d472b2e4cfb5,112,232,purchase,243.83,2026-01-26T16:59:39.561368+00:00
32772d25-a1ad-4896-93eb-6de60d09a871,252,266,purchase,285.4,2026-01-26T16:59:39.561452+00:00
027f369f-39bb-4216-b37d-87383906c2a9,572,199,view,,2026-01-26T16:59:39.561504+00:00
