event_id,user_id,product_id,event_type,price,event_timestamp
67932332-0252-46fe-9ba5-f39586494149,430,252,view,,2026-01-26T16:57:37.288953+00:00
f437955b-cf25-4e7e-acaa-6ee5505a33c7,996,73,view,,2026-01-26T16:57:37.289041+00:00
e05f6651-a76b-4e38-a565-81824718da21,96,23,view,,2026-01-26T16:57:37.289079+00:00
dad07b31-02ba-47c4-a441-5d0d74218be4,919,433,view,,2026-01-26T16:57:37.289110+00:00
f67813ee-bc43-4469-a480-82435592585b,718,459,view,,2026-01-26T16:57:37.289139+00:00
9006b9e6-1b1e-46a5-9278-6ae04826b9a3,998,383,view,,2026-01-26T16:57:37.289169+00:00
f8ab03a5-d85b-4a96-957d-746a87623007,98,259,purchase,78.64,2026-01-26T16:57:37.289211+00:00
3a4b7ae5-6147-4165-877b-8d7a8d16d590,607,291,view,,2026-01-26T16:57:37.289241+00:00
0229b00e-6335-4620-8775-c9e493ecbb4c,679,494,purchase,76.24,2026-01-26T16:57:37.289278+00:00
d979d305-e0d2-43a0-b38a-ba3076a9195b,323,475,purchase,420.39,2026-01-26T16:57:37.289314+00:00
5ed10a41-9543-4a11-b1eb-1ea52ffb80e3,335,163,view,,2026-01-26T16:57:37.289344+00:00
035d8400-1fa7-4e31-ba52-227913875213,240,39,view,,2026-01-26T16:57:37.289373+00:00
dd8d8d7d-5103-4802-9b74-7bf6b6fa1b19,140,400,view,,2026-01-26T16:57:37.289401+00:00
89b1eda2-c366-42a7-8f3c-1543fc901cd7,112,80,view,,2026-01-26T16:57:37.289429+00:00
c33ca9bf-483b-4fcd-8eef-4ce058941b4c,461,239,purchase,170.41,2026-01-26T16:57:37.289462+00:00
61bd7035-a488-40de-8133-e05ca0bfb1d7,988,395,view,,2026-01-26T16:57:37.289491+00:00
3d63b2a9-bdb2-480c-8c1a-c07b15389d13,316,238,purchase,145.85,2026-01-26T16:57:37.289523+00:00
8ab53b84-1113-4c94-a0aa-6efcc39f9ef0,827,352,purchase,165.83,2026-01-26T16:57:37.289556+00:00
cec16537-b53d-4957-9b43-1f60fd4d747e,42,111,view,,2026-01-26T16:57:37.289584+00:00
ffd7947d-77a7-4e7a-a282-e1af56c40b78,336,76,view,,2026-01-26T16:57:37.289616+00:00
