event_id,user_id,product_id,event_type,price,event_timestamp
56c5c5f5-cc55-4ac4-995e-ec0b1431a494,567,272,view,,2026-01-30 13:20:51
4c5bba58-6db9-4f5c-99ad-10bf60931ab6,764,282,view,,2026-01-30 13:20:51
a54ff828-212d-4bf0-b9f6-2108f4bb2ea5,720,233,view,,2026-01-30 13:20:51
bbb090db-e700-4572-b2f8-31f9f3a2a7ce,258,119,purchase,71.72,2026-01-30 13:20:51
71941474-c69c-411e-93b4-3ede72a00d30,761,275,view,,2026-01-30 13:20:51
f3308d22-83d0-4bf1-9235-f36f05a9140a,707,95,view,,2026-01-30 13:20:51
fbc03512-b12e-4daa-88ec-e942624f353a,757,248,purchase,151.72,2026-01-30 13:20:51
de809731-c6a2-4db2-bcc5-e5accf2ec77e,538,306,view,,2026-01-30 13:20:51
481fe894-80ed-4fc6-8a4a-f4cfcb27565b,103,427,purchase,109.3,2026-01-30 13:20:51
f48ea692-050e-433c-972c-d9fec0d10edf,310,8,view,,2026-01-30 13:20:51
947297f3-6462-451b-8f84-d61b1ca3fb49,130,141,view,,2026-01-30 13:20:51
36fed599-d98b-4300-b7c4-17196e47c3f7,56,284,purchase,159.7,2026-01-30 13:20:51
8e403203-bdc7-4a1d-981a-5653d28cde50,890,386,purchase,261.1,2026-01-30 13:20:51
8815dc3e-317b-48aa-88a6-8fbaeae7c17e,292,241,purchase,255.44,2026-01-30 13:20:51
5bc91a1f-e283-4b8f-99cd-28195ed40a05,53,130,purchase,491.86,2026-01-30 13:20:51
6f4974c3-67e1-4f00-9ae9-83bad09af8e1,67,206,purchase,261.07,2026-01-30 13:20:51
dc357774-e031-4afe-8f63-28a07fe8546c,55,78,view,,2026-01-30 13:20:51
5d13415f-128b-4566-8585-28facaaecca8,577,486,purchase,165.09,2026-01-30 13:20:51
685bed69-b9b2-4a44-a649-4d9f46af6fa6,572,392,purchase,223.61,2026-01-30 13:20:51
69cfe1dc-f835-4b0a-a3a0-5ed54ba065fa,232,398,view,,2026-01-30 13:20:51
